PKey,company_name,state,zip_code,full_time_employees,company_category,business_model,agency_name,agency_abbrev,agency_type,used_by
249,DataWeave,NY,10012,10,Data&Technology,Business to Business,Multiple government open data sources,,Other,DataWeave
250,Deloitte,NY,10112,10001,Research&Consulting,Business to Business,Multiple government open data sources,,Other,Deloitte
251,DemystData,NY,10001,50,Finance&Investment,Business to Business,Multiple government open data sources,,Other,DemystData
252,Department of Better Technology,GA,30306,10,Governance,Business to Business,Multiple government open data sources,,Other,Department of Better Technology
253,Development Seed,DC,20001,10,Governance,Business to Consumer,Department of Commerce,USDC,Federal,Development Seed
254,Development Seed,DC,20001,10,Governance,Business to Consumer,Multiple government open data sources,,Other,Development Seed
255,Development Seed,DC,20001,10,Governance,Business to Consumer,Multiple government open data sources,,Other,Development Seed
256,Development Seed,DC,20001,10,Governance,Business to Consumer,Multiple government open data sources,,Other,Development Seed
257,Development Seed,DC,20001,10,Governance,Business to Consumer,Multiple government open data sources,,Other,Development Seed
258,"Docket Alarm, Inc.",NY,10002,10,Business&LegalServices,Business to Consumer,Department of Commerce,USDC,Federal,"Docket Alarm, Inc."
259,Dow Jones & Co.,NY,10036,10000,Finance&Investment,Business to Consumer,Department of the Treasury,,Federal,Dow Jones & Co.
260,Dow Jones & Co.,NY,10036,10000,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Dow Jones & Co.
261,Dun & Bradstreet,NJ,7078,5000,Business&LegalServices,Business to Business,Securities and Exchange Commission,SEC,Federal,Dun & Bradstreet
262,Dun & Bradstreet,NJ,7078,5000,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,Dun & Bradstreet
263,Earth Networks,MD,20876,200,Environment&Weather,Business to Government,Department of Commerce,USDC,Federal,Earth Networks
264,Earth Networks,MD,20876,200,Environment&Weather,Business to Government,Department of Commerce,USDC,Federal,Earth Networks
265,EarthObserver App,NY,10027,10,Geospatial&Mapping,Business to Consumer,Department of Commerce,USDC,Federal,EarthObserver App
266,EarthObserver App,NY,10027,10,Geospatial&Mapping,Business to Consumer,Department of the Interior,DOI,Federal,EarthObserver App
267,Earthquake Alert!,VA,20192,10,Geospatial&Mapping,Business to Consumer,Department of the Interior,DOI,Federal,Earthquake Alert!
268,Eat Shop Sleep,CA,22312,10,Lifestyle&Consumer,Business to Consumer,Department of Labor,DOL,Federal,Eat Shop Sleep
269,Ecodesk,NY,10010,50,Business&LegalServices,Business to Government,U.S. Environmental Protection Agency,EPA,Federal,Ecodesk
270,eInstitutional,CT,6877,10,Finance&Investment,Business to Business,Federal Deposit Insurance Corporation,FDIC,Federal,eInstitutional
271,eInstitutional,CT,6877,10,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,eInstitutional
272,eInstitutional,CT,6877,10,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,eInstitutional
273,eInstitutional,CT,6877,10,Finance&Investment,Business to Business,Securities and Exchange Commission,SEC,Federal,eInstitutional
274,Embark,CA,95014,10,Transportation,Business to Business,Multiple city and local data sources,,City/County,Embark
275,Embark,CA,95014,10,Transportation,Business to Business,Multiple state data sources,,State,Embark
276,EMC,MA,1748,10001,Data&Technology,Business to Business,Multiple government open data sources,,Other,EMC
277,"Energy Points, Inc.",MA,2114,50,Energy,Business to Business,Department of the Interior,DOI,Federal,"Energy Points, Inc."
278,"Energy Points, Inc.",MA,2114,50,Energy,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,"Energy Points, Inc."
279,Energy Solutions Forum,NY,10013,10,Energy,Business to Business,Department of Energy,DOE,Federal,Energy Solutions Forum
280,Energy Solutions Forum,NY,10013,10,Energy,Business to Business,National Archives and Records Administration,NARA,Federal,Energy Solutions Forum
281,Enervee Corporation,CA,90401,10,Energy,Business to Business,Department of Energy,DOE,Federal,Enervee Corporation
282,Enervee Corporation,CA,90401,10,Energy,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,Enervee Corporation
283,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of Labor,DOL,Federal,Enigma.io
284,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of Agriculture,USDA,Federal,Enigma.io
285,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of Commerce,USDC,Federal,Enigma.io
286,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of Education,ED / DOED,Federal,Enigma.io
287,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of Energy,DOE,Federal,Enigma.io
288,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of Health and Human Services,HHS,Federal,Enigma.io
289,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of Homeland Security,DHS,Federal,Enigma.io
290,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of Justice,DOJ,Federal,Enigma.io
291,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of State,DOS,Federal,Enigma.io
292,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of the Interior,DOI,Federal,Enigma.io
293,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of the Treasury,,Federal,Enigma.io
294,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of Transportation,DOT,Federal,Enigma.io
295,Enigma.io,NY,10012,50,Data&Technology,Business to Government,Department of Defense,DOD,Federal,Enigma.io
296,Ensco,VA,22042,10000,Energy,Business to Business,Multiple government open data sources,,Other,Ensco
297,Environmental Data Resources,CT,6461,200,Environment&Weather,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,Environmental Data Resources
298,Environmental Data Resources,CT,6461,200,Environment&Weather,Business to Business,Multiple city and local data sources,,City/County,Environmental Data Resources
299,Environmental Data Resources,CT,6461,200,Environment&Weather,Business to Business,Multiple state data sources,,State,Environmental Data Resources
300,Epsilon,TX,75024,10000,Data&Technology,Business to Business,Multiple government open data sources,,Other,Epsilon
301,Equal Pay for Women,VA,23113,10,Business&LegalServices,Nonprofit,Department of Labor,DOL,Federal,Equal Pay for Women
302,Equifax,GA,30374,10000,Finance&Investment,Business to Business,Multiple government open data sources,,Other,Equifax
303,Equilar,CA,94063,200,Data&Technology,Business to Business,Securities and Exchange Commission,SEC,Federal,Equilar
304,Ernst & Young LLP,NY,10036,10001,Finance&Investment,Business to Business,Multiple government open data sources,,Other,Ernst & Young LLP
305,eScholar LLC.,NY,10605,200,Education,Business to Consumer,Multiple government open data sources,,Other,eScholar LLC.
306,Esri,CA,92373,5000,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Esri
307,Esri,CA,92373,5000,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Esri
308,Estately,WA,98102,10,Housing&RealEstate,Business to Consumer,Multiple government open data sources,,Other,Estately
309,Everyday Health,NY,10014,1000,Lifestyle&Consumer,Business to Consumer,Department of Health and Human Services,HHS,Federal,Everyday Health
310,Evidera,MD,20814,500,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,Evidera
311,Experian,CA,92626,10001,Finance&Investment,Business to Consumer,Multiple government open data sources,,Other,Experian
312,"Expert Health Data Programming, Inc.",WA,98005,10,Healthcare,Business to Government,Department of Commerce,USDC,Federal,"Expert Health Data Programming, Inc."
313,"Expert Health Data Programming, Inc.",WA,98005,10,Healthcare,Business to Government,Department of Health and Human Services,HHS,Federal,"Expert Health Data Programming, Inc."
314,"Expert Health Data Programming, Inc.",WA,98005,10,Healthcare,Business to Government,Department of Health and Human Services,HHS,Federal,"Expert Health Data Programming, Inc."
315,"Expert Health Data Programming, Inc.",WA,98005,10,Healthcare,Business to Government,Multiple government open data sources,,Other,"Expert Health Data Programming, Inc."
316,Exversion,NY,0,10,Data&Technology,Business to Business,Multiple government open data sources,,Other,Exversion
317,Ez-XBRL,VA,22701,200,Finance&Investment,Business to Business,Securities and Exchange Commission,SEC,Federal,Ez-XBRL
318,Factset,CT,6851,10000,Finance&Investment,Business to Business,Department of Labor,DOL,Federal,Factset
319,Factset,CT,6851,10000,Finance&Investment,Business to Business,Department of Commerce,USDC,Federal,Factset
320,Factset,CT,6851,10000,Finance&Investment,Business to Business,Department of Commerce,USDC,Federal,Factset
321,Factset,CT,6851,10000,Finance&Investment,Business to Business,Department of the Treasury,,Federal,Factset
322,Factset,CT,6851,10000,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,Factset
323,Factual,CA,90067,200,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,Factual
324,Farmers,CA,90010,10001,Insurance,Business to Consumer,Department of Commerce,USDC,Federal,Farmers
325,FarmLogs,MI,48104,50,Food&Agriculture,Business to Business,Department of Agriculture,USDA,Federal,FarmLogs
326,FarmLogs,MI,48104,50,Food&Agriculture,Business to Business,Department of Commerce,USDC,Federal,FarmLogs
327,Fastcase,DC,20004,200,Business&LegalServices,Business to Business,Administrative Office of the United States Courts,AO,Federal,Fastcase
328,Fastcase,DC,20004,200,Business&LegalServices,Business to Business,Administrative Office of the United States Courts,AO,Federal,Fastcase
329,Fidelity Investments,MA,2210,10001,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Fidelity Investments
330,Fidelity Investments,MA,2210,10001,Finance&Investment,Business to Consumer,Multiple federal data sources,,Federal,Fidelity Investments
331,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Labor,DOL,Federal,FindTheBest.com
332,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Agriculture,USDA,Federal,FindTheBest.com
333,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Agriculture,USDA,Federal,FindTheBest.com
334,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Agriculture,USDA,Federal,FindTheBest.com
335,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Agriculture,USDA,Federal,FindTheBest.com
336,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Agriculture,USDA,Federal,FindTheBest.com
337,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Energy,DOE,Federal,FindTheBest.com
338,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Energy,DOE,Federal,FindTheBest.com
339,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Health and Human Services,HHS,Federal,FindTheBest.com
340,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Health and Human Services,HHS,Federal,FindTheBest.com
341,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Health and Human Services,HHS,Federal,FindTheBest.com
342,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Homeland Security,DHS,Federal,FindTheBest.com
343,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Housing and Urban Development,HUD,Federal,FindTheBest.com
344,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Justice,DOJ,Federal,FindTheBest.com
345,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of the Treasury,,Federal,FindTheBest.com
346,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Transportation,DOT,Federal,FindTheBest.com
347,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Transportation,DOT,Federal,FindTheBest.com
348,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Federal Communications Commission,FCC,Federal,FindTheBest.com
349,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Federal Deposit Insurance Corporation,FDIC,Federal,FindTheBest.com
350,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Federal Election Commission,FED,Federal,FindTheBest.com
351,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,General Services Administration,GSA,Federal,FindTheBest.com
352,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,National Aeronautics and Space Administration,NASA,Federal,FindTheBest.com
353,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,US Consumer Product Safety Commission,CPSC,Federal,FindTheBest.com
354,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,US Equal Employment Opportunity Commission,EEOC,Federal,FindTheBest.com
355,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Multiple government open data sources,,Other,FindTheBest.com
356,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,FindTheBest.com
357,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Multiple state data sources,,State,FindTheBest.com
358,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Multiple federal data sources,,Federal,FindTheBest.com
359,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Defense,DOD,Federal,FindTheBest.com
360,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,New York City,NYC,City/County,FindTheBest.com
361,First Fuel Software,MA,2420,200,Energy,Business to Government,Department of Commerce,USDC,Federal,First Fuel Software
362,First Fuel Software,MA,2420,200,Energy,Business to Government,Department of Energy,DOE,Federal,First Fuel Software
363,First Fuel Software,MA,2420,200,Energy,Business to Government,Department of Energy,DOE,Federal,First Fuel Software
364,"FirstPoint, Inc.",NC,27401,200,Business&LegalServices,Business to Business,Multiple state data sources,,State,"FirstPoint, Inc."
365,"FirstPoint, Inc.",NC,27401,200,Business&LegalServices,Business to Business,Multiple federal data sources,,Federal,"FirstPoint, Inc."
366,Fitch,NY,10004,5000,Finance&Investment,Business to Business,Multiple government open data sources,,Other,Fitch
367,FlightAware,TX,77046,200,Transportation,Business to Business,Department of Transportation,DOT,Federal,FlightAware
368,FlightStats,OR,97204,200,Transportation,Business to Consumer,Department of Transportation,DOT,Federal,FlightStats
369,FlightStats,OR,97204,200,Transportation,Business to Consumer,Department of Transportation,DOT,Federal,FlightStats
370,FlightView,MA,2458,50,Transportation,Business to Business,Department of Commerce,USDC,Federal,FlightView
371,FlightView,MA,2458,50,Transportation,Business to Business,Department of Transportation,DOT,Federal,FlightView
372,Food+Tech Connect,NY,11222,10,Food&Agriculture,Business to Business,Department of Agriculture,USDA,Federal,Food+Tech Connect
373,Forrester Research,MA,2140,5000,Research&Consulting,Business to Business,Multiple government open data sources,,Other,Forrester Research
374,Foursquare,NY,10012,200,Lifestyle&Consumer,Business to Consumer,Department of Commerce,USDC,Federal,Foursquare
375,Fujitsu,CA,94089,10001,Data&Technology,Business to Business,Securities and Exchange Commission,SEC,Federal,Fujitsu
376,Funding Circle,CA,94111,200,Finance&Investment,Business to Business,Multiple city and local data sources,,City/County,Funding Circle
377,FutureAdvisor,CA,94107,50,Finance&Investment,Business to Consumer,Department of Labor,DOL,Federal,FutureAdvisor
378,FutureAdvisor,CA,94107,50,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,FutureAdvisor
379,"Fuzion Apps, Inc.",TX,77479,10,Lifestyle&Consumer,Business to Business,Department of Labor,DOL,Federal,"Fuzion Apps, Inc."
380,"Fuzion Apps, Inc.",TX,77479,10,Lifestyle&Consumer,Business to Business,Department of Labor,DOL,Federal,"Fuzion Apps, Inc."
381,Gallup,DC,20004,5000,Research&Consulting,Business to Business,Department of Commerce,USDC,Federal,Gallup
382,Galorath Incorporated,CA,90245,50,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,Galorath Incorporated
383,Garmin,KA,66062,10000,Geospatial&Mapping,Business to Consumer,Department of Commerce,USDC,Federal,Garmin
384,Genability,CA,94105,10,Energy,Business to Business,Department of Energy,DOE,Federal,Genability
385,GenoSpace,MA,2108,50,Healthcare,Academia,Department of Health and Human Services,HHS,Federal,GenoSpace
386,Geofeedia,IL,60606,50,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Geofeedia
387,Geolytics,NJ,8876,10,Data&Technology,Business to Government,Department of Commerce,USDC,Federal,Geolytics
388,Geoscape,FL,33135,50,Lifestyle&Consumer,Business to Business,Department of Labor,DOL,Federal,Geoscape
389,Geoscape,FL,33135,50,Lifestyle&Consumer,Business to Business,Department of Commerce,USDC,Federal,Geoscape
390,GetRaised,NY,10009,10,Finance&Investment,Business to Consumer,Department of Labor,DOL,Federal,GetRaised
391,GitHub,CA,94107,500,Data&Technology,Business to Business,Multiple government open data sources,,Other,GitHub
392,Glassy Media,MA,2139,10,Governance,Business to Consumer,Federal Election Commission,FED,Federal,Glassy Media
393,Golden Helix,MT,59718,50,Scientific Research,Business to Business,Department of Health and Human Services,HHS,Federal,Golden Helix
394,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,Department of Labor,DOL,Federal,GoodGuide
395,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,Department of Energy,DOE,Federal,GoodGuide
396,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,Department of Health and Human Services,HHS,Federal,GoodGuide
397,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
398,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
399,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
400,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
401,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
402,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
403,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
404,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
405,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
406,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
407,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
408,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
409,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
410,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
411,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
412,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
413,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
414,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
415,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
416,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
417,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
418,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide
419,Google Maps,CA,94043,10000,Geospatial&Mapping,Business to Government,Department of Commerce,USDC,Federal,Google Maps
420,Google Maps,CA,94043,10000,Geospatial&Mapping,Business to Government,Department of Commerce,USDC,Federal,Google Maps
421,Google Maps,CA,94043,10000,Geospatial&Mapping,Business to Government,Multiple government open data sources,,Other,Google Maps
422,Google Maps,CA,94043,10000,Geospatial&Mapping,Business to Government,Multiple city and local data sources,,City/County,Google Maps
423,Google Public Data Explorer,CA,94043,10000,Data&Technology,Business to Consumer,Multiple government open data sources,,Other,Google Public Data Explorer
424,Government Transaction Services,VA,22182,10,Finance&Investment,Business to Business,General Services Administration,GSA,Federal,Government Transaction Services
425,Govini,CA,94107,50,Governance,Business to Business,Multiple government open data sources,,Other,Govini
426,GovTribe,VA,22209,10,Governance,Business to Government,Multiple government open data sources,,Other,GovTribe
427,GovTribe,VA,22209,10,Governance,Business to Government,Multiple government open data sources,,Other,GovTribe
428,"Govzilla, Inc.",IL,60560,10,Governance,Business to Business,Department of Health and Human Services,HHS,Federal,"Govzilla, Inc."
429,gRadiant Research LLC,MA,1742,200,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,gRadiant Research LLC
430,gRadiant Research LLC,MA,1742,200,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,gRadiant Research LLC
431,gRadiant Research LLC,MA,1742,200,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,gRadiant Research LLC
432,gRadiant Research LLC,MA,1742,200,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,gRadiant Research LLC
433,Graebel Van Lines,CO,80011,5000,Transportation,Business to Consumer,Department of Commerce,USDC,Federal,Graebel Van Lines
434,"Graematter, Inc.",MO,63011,10,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,"Graematter, Inc."
435,"Graematter, Inc.",MO,63011,10,Data&Technology,Business to Business,Department of Health and Human Services,HHS,Federal,"Graematter, Inc."
436,"Graematter, Inc.",MO,63011,10,Data&Technology,Business to Business,Department of Justice,DOJ,Federal,"Graematter, Inc."
437,Granicus,CA,94107,200,Governance,Business to Government,Multiple government open data sources,,Other,Granicus
438,GreatSchools,CA,94105,200,Education,Business to Consumer,California,CA,State,GreatSchools
439,GreatSchools,CA,94105,200,Education,Business to Consumer,Department of Education,ED / DOED,Federal,GreatSchools
440,GuideStar,DC,20006,200,Governance,Nonprofit,Department of the Treasury,,Federal,GuideStar
441,H3 Biomedicine,MA,2139,200,Scientific Research,Business to Business,Department of Health and Human Services,HHS,Federal,H3 Biomedicine
442,Harris Corporation,FL,32901,10001,Environment&Weather,Business to Business,Department of Commerce,USDC,Federal,Harris Corporation
443,"HDScores, Inc",MD,21224,10,Lifestyle&Consumer,Business to Consumer,District of Columbia,DC,State,"HDScores, Inc"
444,"HDScores, Inc",MD,21224,10,Lifestyle&Consumer,Business to Consumer,Maryland,MD,State,"HDScores, Inc"
445,"HDScores, Inc",MD,21224,10,Lifestyle&Consumer,Business to Consumer,Virginia,VA,State,"HDScores, Inc"
446,Headlight,TX,78701,10,Data&Technology,Business to Nonprofit,Department of Labor,DOL,Federal,Headlight
447,Headlight,TX,78701,10,Data&Technology,Business to Nonprofit,Department of Commerce,USDC,Federal,Headlight
448,Headlight,TX,78701,10,Data&Technology,Business to Nonprofit,Department of Education,ED / DOED,Federal,Headlight
449,Healthgrades,CO,80202,1000,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Healthgrades
450,Healthgrades,CO,80202,1000,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Healthgrades
451,Healthline,CA,94107,200,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,Healthline
452,HealthMap,MA,2115,50,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,HealthMap
453,HealthMap,MA,2115,50,Healthcare,Business to Consumer,Department of Defense,DOD,Federal,HealthMap
454,"HealthPocket, Inc.",CA,94085,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,"HealthPocket, Inc."
455,"HealthPocket, Inc.",CA,94085,10,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,"HealthPocket, Inc."
456,HelloWallet,DC,20037,50,Finance&Investment,Business to Consumer,Department of Labor,DOL,Federal,HelloWallet
457,HelloWallet,DC,20037,50,Finance&Investment,Business to Consumer,Department of Commerce,USDC,Federal,HelloWallet
458,HelloWallet,DC,20037,50,Finance&Investment,Business to Consumer,Federal Reserve Board,FED,Federal,HelloWallet
459,HERE,IL,60606,10000,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,HERE
460,HERE,IL,60606,10000,Geospatial&Mapping,Business to Business,Department of the Interior,DOI,Federal,HERE
461,Honest Buildings,NY,10013,50,Housing&RealEstate,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,Honest Buildings
462,HopStop,NY,10016,10,Transportation,Business to Consumer,Multiple city and local data sources,,City/County,HopStop
463,Housefax,VA,20169,10,Housing&RealEstate,Business to Consumer,Multiple city and local data sources,,City/County,Housefax
464,How's My Offer?,WA,0,10,Education,Business to Consumer,Department of Education,ED / DOED,Federal,How's My Offer?
465,IBM,NY,0,10001,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,IBM
466,IBM,NY,0,10001,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,IBM
467,IBM,NY,0,10001,Data&Technology,Business to Business,Multiple government open data sources,,Other,IBM
468,ideas42,NY,10004,50,Research&Consulting,Nonprofit,Consumer Financial Protection Bureau,CFPB,Federal,ideas42
469,ideas42,NY,10004,50,Research&Consulting,Nonprofit,U.S. Environmental Protection Agency,EPA,Federal,ideas42
470,iFactor Consulting,AZ,85281,50,Research&Consulting,Business to Business,Department of Commerce,USDC,Federal,iFactor Consulting
471,iFactor Consulting,AZ,85281,50,Research&Consulting,Business to Business,Department of Energy,DOE,Federal,iFactor Consulting
472,IFI CLAIMS Patent Services,CT,6443,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,IFI CLAIMS Patent Services
473,IFI CLAIMS Patent Services,CT,6443,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,IFI CLAIMS Patent Services
474,IFI CLAIMS Patent Services,CT,6443,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,IFI CLAIMS Patent Services
475,IFI CLAIMS Patent Services,CT,6443,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,IFI CLAIMS Patent Services
476,IFI CLAIMS Patent Services,CT,6443,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,IFI CLAIMS Patent Services
477,IFI CLAIMS Patent Services,CT,6443,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,IFI CLAIMS Patent Services
478,IFI CLAIMS Patent Services,CT,6443,50,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,IFI CLAIMS Patent Services
479,iMedicare,NY,10013,10,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,iMedicare
480,Impact Forecasting (Aon),IL,60601,10001,Insurance,Business to Business,Multiple government open data sources,,Other,Impact Forecasting (Aon)
481,Impaq International,MD,21044,500,Research&Consulting,Business to Business,Department of Health and Human Services,HHS,Federal,Impaq International
482,Import.io,CA,94103,50,Data&Technology,Business to Consumer,Multiple government open data sources,,Other,Import.io
483,IMS Health,CT,6810,10000,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,IMS Health
484,IMS Health,CT,6810,10000,Healthcare,Business to Business,Department of Veterans Affairs,VA,Federal,IMS Health
485,InCadence,VA,20109,10,Data&Technology,Nonprofit,Multiple government open data sources,,Other,InCadence
486,indoo.rs,CA,94301,50,Geospatial&Mapping,Business to Consumer,Department of Commerce,USDC,Federal,indoo.rs
