TRUE,company_name,state,zip_code,full_time_employees,company_category,business_model,agency_name,agency_abbrev,agency_type,used_by,dataset_name
217,Construction Monitor LLC,UT,84721,50,Housing&RealEstate,Business to Business,Utah,UT,State,Construction Monitor LLC,Building Permit Data
218,Construction Monitor LLC,UT,84721,50,Housing&RealEstate,Business to Business,Multiple city and local data sources,,City/County,Construction Monitor LLC,
219,Construction Monitor LLC,UT,84721,50,Housing&RealEstate,Business to Business,Multiple state data sources,,State,Construction Monitor LLC,
220,Consumer Reports,NY,10703,1000,Lifestyle&Consumer,Business to Consumer,Department of Health and Human Services,HHS,Federal,Consumer Reports,
221,CoolClimate,CA,94720,10,Environment&Weather, Business to Government,Multiple government open data sources,,Other,CoolClimate,
222,Copyright Clearance Center,MA,1923,500,Business&LegalServices, Business to Consumer,Multiple federal data sources,,Federal,Copyright Clearance Center,Library of Congress: US Copyright Office
223,CoreLogic,CA,92618,5000,Housing&RealEstate,Business to Consumer,Department of Commerce,,,,
224,CostQuest,OH,45206,50,Business&LegalServices,Business to Business,Department of Commerce,USDC,Federal,CostQuest,
225,Credit Karma,CA,94104,200,Finance&Investment,Business to Consumer,Multiple government open data sources,,Other,Credit Karma,"Uses data on bankruptcies, court judgments, tax liens, foreclosures, past due child support, and wage garnishment."
226,Credit Sesame,CA,94041,50,Finance&Investment,Business to Consumer,Department of Commerce,USDC,Federal,Credit Sesame,US Census Bureau Median Income by County
227,Credit Sesame,CA,94041,50,Finance&Investment,Business to Consumer,Department of Commerce,USDC,Federal,Credit Sesame,US Census Bureau American Community Survey (ACS)
228,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Consumer,Department of Commerce,USDC,Federal,CrowdANALYTIX,USPTO
229,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Consumer,Department of Commerce,USDC,Federal,CrowdANALYTIX,NCDC
230,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Consumer,Department of Energy,DOE,Federal,CrowdANALYTIX,US Energy
231,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Consumer,Department of Energy,DOE,Federal,CrowdANALYTIX,Energy
232,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Consumer,Department of Justice,DOJ,Federal,CrowdANALYTIX,UCR
233,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Consumer,Department of State,DOS,Federal,CrowdANALYTIX,OECD
234,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Consumer,Department of the Interior,DOI,Federal,CrowdANALYTIX,land management
235,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Consumer,Department of the Interior,DOI,Federal,CrowdANALYTIX,
236,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Consumer,Department of Transportation,DOT,Federal,CrowdANALYTIX,FARS
237,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Consumer,Department of Transportation,DOT,Federal,CrowdANALYTIX,
238,CrowdANALYTIX,CA,95014,50,Data&Technology,Business to Consumer,Federal Reserve Board,FED,Federal,CrowdANALYTIX,FRED
239,Dabo Health,CA,94025,50,Healthcare,Business to Consumer,Department of Health and Human Services,HHS,Federal,Dabo Health,
240,DataLogix,CO,80021,500,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,DataLogix,
241,DataLogix,CO,80021,500,Data&Technology,Business to Business,Multiple state data sources,,State,DataLogix,Uses DMV data from states.
242,DataMade,IL,60647,10,Governance,Business to Government,Chicago,CHI,City/County,DataMade,Crimes - 2001 to Present
243,DataMade,IL,60647,10,Governance,Business to Government,Illinois,IL,State,DataMade,The Open Data Portal for the Cook County Government - Cook County Budget 1993-2011
244,DataMarket,MA,2110,50,Data&Technology,Business to Consumer,Department of the Treasury,,Federal,DataMarket,US Government Printing Office
245,DataMarket,MA,2110,50,Data&Technology,Business to Consumer,Missouri,MO,State,DataMarket,Federal Reserve Bank of St. Louis
246,Datamyne,FL,33216,200,Data&Technology,Business to Business,Department of Homeland Security,DHS,Federal,Datamyne,U.S. Customs and Border Protection
247,Datamyne,FL,33216,200,Data&Technology,Business to Business,Department of Homeland Security,DHS,Federal,Datamyne,Automated Manifest System
248,Datamyne,FL,33216,200,Data&Technology,Business to Business,Department of Homeland Security,DHS,Federal,Datamyne,customs declarations and Import-Export Customs Statistics
249,DataWeave,NY,10012,10,Data&Technology,Business to Business,Multiple government open data sources,,Other,DataWeave,
250,Deloitte,NY,10112,10001,Research&Consulting,Business to Business,Multiple government open data sources,,Other,Deloitte,
251,DemystData,NY,10001,50,Finance&Investment,Business to Business,Multiple government open data sources,,Other,DemystData,
252,Department of Better Technology,GA,30306,10,Governance,Business to Business,Multiple government open data sources,,Other,Department of Better Technology,
253,Development Seed,DC,20001,10,Governance, Business to Consumer,Department of Commerce,USDC,Federal,Development Seed,Census Data
254,Development Seed,DC,20001,10,Governance, Business to Consumer,Multiple government open data sources,,Other,Development Seed,AITI data
255,Development Seed,DC,20001,10,Governance, Business to Consumer,Multiple government open data sources,,Other,Development Seed,UNDP
256,Development Seed,DC,20001,10,Governance, Business to Consumer,Multiple government open data sources,,Other,Development Seed,World Bank
257,Development Seed,DC,20001,10,Governance, Business to Consumer,Multiple government open data sources,,Other,Development Seed,Open Street Map
258,"Docket Alarm, Inc.",NY,10002,10,Business&LegalServices, Business to Consumer,Department of Commerce,USDC,Federal,"Docket Alarm, Inc.",
259,Dow Jones & Co.,NY,10036,10000,Finance&Investment, Business to Consumer,Department of the Treasury,,Federal,Dow Jones & Co.,
260,Dow Jones & Co.,NY,10036,10000,Finance&Investment, Business to Consumer,Securities and Exchange Commission,SEC,Federal,Dow Jones & Co.,
261,Dun & Bradstreet,NJ,7078,5000,Business&LegalServices,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Dun & Bradstreet,
262,Dun & Bradstreet,NJ,7078,5000,Business&LegalServices,Business to Consumer,Multiple government open data sources,,Other,Dun & Bradstreet,Uses data from public records
263,Earth Networks,MD,20876,200,Environment&Weather, Business to Government,Department of Commerce,USDC,Federal,Earth Networks,
264,Earth Networks,MD,20876,200,Environment&Weather, Business to Government,Department of Commerce,USDC,Federal,Earth Networks,
265,EarthObserver App,NY,10027,200,Geospatial&Mapping,Business to Consumer,Department of Commerce,USDC,Federal,EarthObserver App,
266,EarthObserver App,NY,10027,200,Geospatial&Mapping,Business to Consumer,Department of the Interior,DOI,Federal,EarthObserver App,
267,Earthquake Alert!,VA,20192,200,Geospatial&Mapping,Business to Consumer,Department of the Interior,DOI,Federal,Earthquake Alert!,Earthquakes
268,Eat Shop Sleep,CA,22312,200,Lifestyle&Consumer,Business to Consumer,Department of Labor,DOL,Federal,Eat Shop Sleep,
269,Ecodesk,NY,10010,50,Business&LegalServices, Business to Government,U.S. Environmental Protection Agency,EPA,Federal,Ecodesk,
270,eInstitutional,CT,6877,10,Finance&Investment,Business to Business,Federal Deposit Insurance Corporation,FDIC,Federal,eInstitutional,FDIC Bank & Data Statistics
271,eInstitutional,CT,6877,10,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,eInstitutional,Federal Reserve Banking Information & Regulation
272,eInstitutional,CT,6877,10,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,eInstitutional,Federal Reserve Economic Data (FRED)
273,eInstitutional,CT,6877,10,Finance&Investment,Business to Business,Securities and Exchange Commission,SEC,Federal,eInstitutional,SEC Edgar
274,Embark,CA,95014,10,Transportation,Business to Business,Multiple city and local data sources,,City/County,Embark,transportation system data
275,Embark,CA,95014,10,Transportation,Business to Business,Multiple state data sources,,State,Embark,transportation system data
276,EMC,MA,1748,10001,Data&Technology,Business to Business,Multiple government open data sources,,Other,EMC,justice and public safety; transportation; planning; environment; education; healthcare
277,"Energy Points, Inc.",MA,2114,50,Energy,Business to Business,Department of the Interior,DOI,Federal,"Energy Points, Inc.",Water Use in the United States 2010
278,"Energy Points, Inc.",MA,2114,50,Energy,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,"Energy Points, Inc.",eGRID
279,Energy Solutions Forum,NY,10013,10,Energy,Business to Business,Department of Energy,DOE,Federal,Energy Solutions Forum,
280,Energy Solutions Forum,NY,10013,10,Energy,Business to Business,National Archives and Records Administration,NARA,Federal,Energy Solutions Forum,Federal Register: The Daily Journal of the United States Government
281,Enervee Corporation,CA,90401,10,Energy,Business to Business,Department of Energy,DOE,Federal,Enervee Corporation,
282,Enervee Corporation,CA,90401,10,Energy,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,Enervee Corporation,
283,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of Labor,DOL,Federal,Enigma.io,
284,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of Agriculture,USDA,Federal,Enigma.io,
285,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of Commerce,USDC,Federal,Enigma.io,
286,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of Education,ED / DOED,Federal,Enigma.io,
287,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of Energy,DOE,Federal,Enigma.io,
288,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of Health and Human Services,HHS,Federal,Enigma.io,
289,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of Homeland Security,DHS,Federal,Enigma.io,
290,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of Justice,DOJ,Federal,Enigma.io,
291,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of State,DOS,Federal,Enigma.io,
292,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of the Interior,DOI,Federal,Enigma.io,
293,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of the Treasury,,Federal,Enigma.io,
294,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of Transportation,DOT,Federal,Enigma.io,
295,Enigma.io,NY,10012,50,Data&Technology, Business to Government,Department of Defense,DOD,Federal,Enigma.io,
296,Ensco,VA,22042,10000,Energy,Business to Business,Multiple government open data sources,,Other,Ensco,
297,Environmental Data Resources,CT,6461,200,Environment&Weather,Business to Business,U.S. Environmental Protection Agency,EPA,Federal,Environmental Data Resources,
298,Environmental Data Resources,CT,6461,200,Environment&Weather,Business to Business,Multiple city and local data sources,,City/County,Environmental Data Resources,"Uses environmental records, land use information, and bulding permit data from thousands of federal, state, tribal, and local sources"
299,Environmental Data Resources,CT,6461,200,Environment&Weather,Business to Business,Multiple state data sources,,State,Environmental Data Resources,"Uses environmental records, land use information, and bulding permit data from thousands of federal, state, tribal, and local sources"
300,Epsilon,TX,75024,10000,Data&Technology,Business to Business,Multiple government open data sources,,Other,Epsilon,
301,Equal Pay for Women,VA,23113,200,Business&LegalServices,Business to Consumer,Department of Labor,DOL,Federal,Equal Pay for Women,
302,Equifax,GA,30374,10000,Finance&Investment,Business to Business,Multiple government open data sources,,Other,Equifax,"employment, income and identity data"
303,Equilar,CA,94063,200,Data&Technology,Business to Business,Securities and Exchange Commission,SEC,Federal,Equilar,
304,Ernst & Young LLP,NY,10036,10001,Finance&Investment,Business to Business,Multiple government open data sources,,Other,Ernst & Young LLP,
305,eScholar LLC.,NY,10605,200,Education, Business to Consumer,Multiple government open data sources,,Other,eScholar LLC.,
306,Esri,CA,92373,5000,Geospatial&Mapping,Business to Consumer,Department of Commerce,USDC,Federal,Esri,Federal GPS and Geographic Data
307,Esri,CA,92373,5000,Geospatial&Mapping,Business to Consumer,Department of Commerce,USDC,Federal,Esri,US Census Bureau
308,Estately,WA,98102,10,Housing&RealEstate,Business to Consumer,Multiple government open data sources,,Other,Estately,
309,Everyday Health,NY,10014,1000,Lifestyle&Consumer,Business to Consumer,Department of Health and Human Services,HHS,Federal,Everyday Health,
310,Evidera,MD,20814,500,Healthcare,Business to Business,Department of Health and Human Services,HHS,Federal,Evidera,
311,Experian,CA,92626,10001,Finance&Investment, Business to Consumer,Multiple government open data sources,,Other,Experian,"Department of Corrections; Arrest Records; Warrant Records; Administrative Office of the Courts; Patriot Act Records; Sex Offender Records. Records on liens, judgments, bankruptcies, UCC filings. Census"
312,"Expert Health Data Programming, Inc.",WA,98005,10,Healthcare, Business to Government,Department of Commerce,USDC,Federal,"Expert Health Data Programming, Inc.",
313,"Expert Health Data Programming, Inc.",WA,98005,10,Healthcare, Business to Government,Department of Health and Human Services,HHS,Federal,"Expert Health Data Programming, Inc.",
314,"Expert Health Data Programming, Inc.",WA,98005,10,Healthcare, Business to Government,Department of Health and Human Services,HHS,Federal,"Expert Health Data Programming, Inc.",
315,"Expert Health Data Programming, Inc.",WA,98005,10,Healthcare, Business to Government,Multiple government open data sources,,Other,"Expert Health Data Programming, Inc.",
316,Exversion,NY,0,10,Data&Technology,Business to Business,Multiple government open data sources,,Other,Exversion,
317,Ez-XBRL,VA,22701,200,Finance&Investment,Business to Business,Securities and Exchange Commission,SEC,Federal,Ez-XBRL,US Securities and Exchange Commision (SEC) Next-Generation EDGAR System
318,Factset,CT,6851,10000,Finance&Investment,Business to Business,Department of Labor,DOL,Federal,Factset,
319,Factset,CT,6851,10000,Finance&Investment,Business to Business,Department of Commerce,USDC,Federal,Factset,
320,Factset,CT,6851,10000,Finance&Investment,Business to Business,Department of Commerce,USDC,Federal,Factset,
321,Factset,CT,6851,10000,Finance&Investment,Business to Business,Department of the Treasury,,Federal,Factset,
322,Factset,CT,6851,10000,Finance&Investment,Business to Business,Federal Reserve Board,FED,Federal,Factset,
323,Factual,CA,90067,200,Data&Technology,Business to Business,Department of Commerce,USDC,Federal,Factual,
324,Farmers,CA,90010,10001,Insurance, Business to Consumer,Department of Commerce,USDC,Federal,Farmers,
325,FarmLogs,MI,48104,50,Food&Agriculture,Business to Business,Department of Agriculture,USDA,Federal,FarmLogs,Cropland Data Layer
326,FarmLogs,MI,48104,50,Food&Agriculture,Business to Business,Department of Commerce,USDC,Federal,FarmLogs,Hourly Precipitation
327,Fastcase,DC,20004,200,Business&LegalServices,Business to Business,Administrative Office of the United States Courts,AO,Federal,Fastcase,US Supreme Court - 2013 Term Opinions of the Court
328,Fastcase,DC,20004,200,Business&LegalServices,Business to Business,Administrative Office of the United States Courts,AO,Federal,Fastcase,Office of the Law Revision Council
329,Fidelity Investments,MA,2210,10001,Finance&Investment, Business to Consumer,Securities and Exchange Commission,SEC,Federal,Fidelity Investments,
330,Fidelity Investments,MA,2210,10001,Finance&Investment, Business to Consumer,Multiple federal data sources,,Federal,Fidelity Investments,
331,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Labor,DOL,Federal,FindTheBest.com,
332,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Agriculture,USDA,Federal,FindTheBest.com,National Agricultural Library
333,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Agriculture,USDA,Federal,FindTheBest.com,
334,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Agriculture,USDA,Federal,FindTheBest.com,
335,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Agriculture,USDA,Federal,FindTheBest.com,
336,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Agriculture,USDA,Federal,FindTheBest.com,
337,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Energy,DOE,Federal,FindTheBest.com,Energy Efficiency and Renewable Energy
338,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Energy,DOE,Federal,FindTheBest.com,
339,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Health and Human Services,HHS,Federal,FindTheBest.com,Agency for Healthcare Research and Quality
340,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Health and Human Services,HHS,Federal,FindTheBest.com,
341,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Health and Human Services,HHS,Federal,FindTheBest.com,Centers for Disease Control and Prevention
342,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Homeland Security,DHS,Federal,FindTheBest.com,
343,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Housing and Urban Development,HUD,Federal,FindTheBest.com,
344,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Justice,DOJ,Federal,FindTheBest.com,
345,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of the Treasury,,Federal,FindTheBest.com,
346,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Transportation,DOT,Federal,FindTheBest.com,
347,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Transportation,DOT,Federal,FindTheBest.com,
348,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Federal Communications Commission,FCC,Federal,FindTheBest.com,
349,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Federal Deposit Insurance Corporation,FDIC,Federal,FindTheBest.com,
350,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Federal Election Commission,FED,Federal,FindTheBest.com,
351,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,General Services Administration,GSA,Federal,FindTheBest.com,
352,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,National Aeronautics and Space Administration,NASA,Federal,FindTheBest.com,
353,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,US Consumer Product Safety Commission,CPSC,Federal,FindTheBest.com,
354,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,US Equal Employment Opportunity Commission,EEOC,Federal,FindTheBest.com,
355,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Multiple government open data sources,,Other,FindTheBest.com,
356,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Multiple city and local data sources,,City/County,FindTheBest.com,
357,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Multiple state data sources,,State,FindTheBest.com,
358,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Multiple federal data sources,,Federal,FindTheBest.com,
359,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,Department of Defense,DOD,Federal,FindTheBest.com,
360,FindTheBest.com,CA,93108,200,Lifestyle&Consumer,Business to Consumer,New York City,NYC,City/County,FindTheBest.com,
361,First Fuel Software,MA,2420,200,Energy, Business to Government,Department of Commerce,USDC,Federal,First Fuel Software,
362,First Fuel Software,MA,2420,200,Energy, Business to Government,Department of Energy,DOE,Federal,First Fuel Software,Electric Vehicle Charging Station Locations
363,First Fuel Software,MA,2420,200,Energy, Business to Government,Department of Energy,DOE,Federal,First Fuel Software,geographic information system building data
364,"FirstPoint, Inc.",NC,27401,200,Business&LegalServices,Business to Business,Multiple state data sources,,State,"FirstPoint, Inc.",
365,"FirstPoint, Inc.",NC,27401,200,Business&LegalServices,Business to Business,Multiple federal data sources,,Federal,"FirstPoint, Inc.",
366,Fitch,NY,10004,5000,Finance&Investment,Business to Business,Multiple government open data sources,,Other,Fitch,
367,FlightAware,TX,77046,200,Transportation,Business to Business,Department of Transportation,DOT,Federal,FlightAware,
368,FlightStats,OR,97204,200,Transportation,Business to Consumer,Department of Transportation,DOT,Federal,FlightStats,ASDI Data Feed
369,FlightStats,OR,97204,200,Transportation,Business to Consumer,Department of Transportation,DOT,Federal,FlightStats,ASDI Data Feed
370,FlightView,MA,2458,50,Transportation,Business to Business,Department of Commerce,USDC,Federal,FlightView,
371,FlightView,MA,2458,50,Transportation,Business to Business,Department of Transportation,DOT,Federal,FlightView,
372,Food+Tech Connect,NY,11222,10,Food&Agriculture,Business to Business,Department of Agriculture,USDA,Federal,Food+Tech Connect,
373,Forrester Research,MA,2140,5000,Research&Consulting,Business to Business,Multiple government open data sources,,Other,Forrester Research,
374,Foursquare,NY,10012,200,Lifestyle&Consumer,Business to Consumer,Department of Commerce,USDC,Federal,Foursquare,
375,Fujitsu,CA,94089,10001,Data&Technology,Business to Consumer,Securities and Exchange Commission,SEC,Federal,Fujitsu,
376,Funding Circle,CA,94111,200,Finance&Investment,Business to Business,Multiple city and local data sources,,City/County,Funding Circle,County Court Judgments and bankruptcies
377,FutureAdvisor,CA,94107,50,Finance&Investment,Business to Consumer,Department of Labor,DOL,Federal,FutureAdvisor,
378,FutureAdvisor,CA,94107,50,Finance&Investment,Business to Consumer,Securities and Exchange Commission,SEC,Federal,FutureAdvisor,
379,"Fuzion Apps, Inc.",TX,77479,10,Lifestyle&Consumer,Business to Business,Department of Labor,DOL,Federal,"Fuzion Apps, Inc.",State
380,"Fuzion Apps, Inc.",TX,77479,10,Lifestyle&Consumer,Business to Business,Department of Labor,DOL,Federal,"Fuzion Apps, Inc.",National
381,Gallup,DC,20004,5000,Research&Consulting,Business to Business,Department of Commerce,USDC,Federal,Gallup,Uses  demographic characteristics of the adult population
382,Galorath Incorporated,CA,90245,50,Business&LegalServices,Business to Business,Multiple government open data sources,,Other,Galorath Incorporated,
383,Garmin,KA,66062,10000,Geospatial&Mapping,Business to Consumer,Department of Commerce,USDC,Federal,Garmin,
384,Genability,CA,94105,10,Energy,Business to Business,Department of Energy,DOE,Federal,Genability,Utility Data
385,GenoSpace,MA,2108,50,Healthcare, academia,Department of Health and Human Services,HHS,Federal,GenoSpace,genomic data
386,Geofeedia,IL,60606,50,Geospatial&Mapping,Business to Business,Department of Commerce,USDC,Federal,Geofeedia,
387,Geolytics,NJ,8876,10,Data&Technology, Business to Government,Department of Commerce,USDC,Federal,Geolytics,
388,Geoscape,FL,33135,50,Lifestyle&Consumer,Business to Business,Department of Labor,DOL,Federal,Geoscape,
389,Geoscape,FL,33135,50,Lifestyle&Consumer,Business to Business,Department of Commerce,USDC,Federal,Geoscape,
390,GetRaised,NY,10009,10,Finance&Investment,Business to Consumer,Department of Labor,DOL,Federal,GetRaised,
391,GitHub,CA,94107,500,Data&Technology,Business to Business,Multiple government open data sources,,Other,GitHub,
392,Glassy Media,MA,2139,10,Governance,Business to Consumer,Federal Election Commission,FED,Federal,Glassy Media,
393,Golden Helix,MT,59718,50,ScientificResearch,Business to Business,Department of Health and Human Services,HHS,Federal,Golden Helix,
394,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,Department of Labor,DOL,Federal,GoodGuide,
395,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,Department of Energy,DOE,Federal,GoodGuide,
396,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,Department of Health and Human Services,HHS,Federal,GoodGuide,
397,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Toxics Release Inventory
398,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Design for the Environment
399,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,"Priority Persistent, Bioaccumulative, and Toxic (PBT) Substance List"
400,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Risk-Screening Environmental Indicators (RSEI)
401,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,National Environmental Performance Track Company
402,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,"Design for the Environment Formulator Partners and Recognized Products, Consumer Cleaning Products"
403,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Persistent Bioaccumulative Toxic (PBT) Chemicals Final Rule
404,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Integrated Risk Information System (IRIS) Carcinogenicity Weight of Evidence Characterizations
405,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Chemicals Action Plan
406,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Listing of All Toxicity Weights for TRI Chemicals and Chemical Categories
407,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,HPV Chemical Hazard Data Availability Study
408,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,ENERGY STAR Rated Products Lists
409,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Toxics Release Inventory (TRI) Program
410,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,EPA Cars
411,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,SmartWay Certification
412,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,2010 EPA Green Power Leadership Awards
413,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Green Power Top 50
414,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,EPA 100% Green Power Purchasers
415,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Safer Detergents Stewardship Initiative (SDSI)
416,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Green Power Partner
417,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Green Chemistry Award
418,GoodGuide,CA,94111,50,Lifestyle&Consumer,Business to Consumer,U.S. Environmental Protection Agency,EPA,Federal,GoodGuide,Design for the Environment
419,Google Maps,CA,94043,10000,Geospatial&Mapping, Business to Government,Department of Commerce,USDC,Federal,Google Maps,
420,Google Maps,CA,94043,10000,Geospatial&Mapping, Business to Government,Department of Commerce,USDC,Federal,Google Maps,
421,Google Maps,CA,94043,10000,Geospatial&Mapping, Business to Government,Multiple government open data sources,,Other,Google Maps,
422,Google Maps,CA,94043,10000,Geospatial&Mapping, Business to Government,Multiple city and local data sources,,City/County,Google Maps,
423,Google Public Data Explorer,CA,94043,10000,Data&Technology, Business to Consumer,Multiple government open data sources,,Other,Google Public Data Explorer,
424,Government Transaction Services,VA,22182,10,Finance&Investment,Business to Business,General Services Administration,GSA,Federal,Government Transaction Services,Federal grant administrative reports
425,Govini,CA,94107,50,Governance,Business to Business,Multiple government open data sources,,Other,Govini,
426,GovTribe,VA,22209,10,Governance, Business to Government,Multiple government open data sources,,Other,GovTribe,USA Spending
427,GovTribe,VA,22209,10,Governance, Business to Government,Multiple government open data sources,,Other,GovTribe,Federal Business Opportunities (Fed Biz Opps)
428,"Govzilla, Inc.",IL,60560,200,Governance,Business to Consumer,Department of Health and Human Services,HHS,Federal,"Govzilla, Inc.",US Food and Drug Administration (FDA)
429,gRadiant Research LLC,MA,1742,200,Research&Consulting,Business to Consumer,Department of Health and Human Services,HHS,Federal,gRadiant Research LLC,National Ambulatory Medical Care Survey
